2023/03/14 09:19:55 - Starting new HTTPS connection (1): eu-offering-api.kambicdn.com:443
2023/03/14 09:19:56 - https://eu-offering-api.kambicdn.com:443 "GET /offering/v2018/ubdk/listView/cycling/all/all/all/competitions.json?lang=da_DK&market=DK&client_id=2&channel_id=1&ncid=1675880965142&useCombined=true HTTP/1.1" 200 27784
2023/03/14 09:20:39 - Starting new HTTPS connection (1): eu-offering-api.kambicdn.com:443
2023/03/14 09:20:39 - https://eu-offering-api.kambicdn.com:443 "GET /offering/v2018/ubdk/listView/cycling/all/all/all/competitions.json?lang=da_DK&market=DK&client_id=2&channel_id=1&ncid=1675880965142&useCombined=true HTTP/1.1" 200 27784
2023/03/14 09:22:49 - Starting new HTTPS connection (1): eu-offering-api.kambicdn.com:443
2023/03/14 09:22:49 - https://eu-offering-api.kambicdn.com:443 "GET /offering/v2018/ubdk/listView/cycling/all/all/all/competitions.json?lang=da_DK&market=DK&client_id=2&channel_id=1&ncid=1675880965142&useCombined=true HTTP/1.1" 200 27784
2023/03/14 09:26:20 - Starting new HTTPS connection (1): eu-offering-api.kambicdn.com:443
2023/03/14 09:26:20 - https://eu-offering-api.kambicdn.com:443 "GET /offering/v2018/ubdk/listView/cycling/all/all/all/competitions.json?lang=da_DK&market=DK&client_id=2&channel_id=1&ncid=1675880965142&useCombined=true HTTP/1.1" 200 27784
2023/03/14 09:26:57 - Starting new HTTPS connection (1): eu-offering-api.kambicdn.com:443
2023/03/14 09:26:57 - https://eu-offering-api.kambicdn.com:443 "GET /offering/v2018/ubdk/listView/cycling/all/all/all/competitions.json?lang=da_DK&market=DK&client_id=2&channel_id=1&ncid=1675880965142&useCombined=true HTTP/1.1" 200 27784
2023/03/14 09:26:57 - Odds changed:0
2023/03/14 09:30:09 - DEBUG - Starting new HTTPS connection (1): eu-offering-api.kambicdn.com:443
2023/03/14 09:30:10 - DEBUG - https://eu-offering-api.kambicdn.com:443 "GET /offering/v2018/ubdk/listView/cycling/all/all/all/competitions.json?lang=da_DK&market=DK&client_id=2&channel_id=1&ncid=1675880965142&useCombined=true HTTP/1.1" 200 27784
2023/03/14 09:30:10 - Odds changed: 0
2023/03/14 09:31:02 - Odds changed: 0
2023/03/14 09:33:11 - Odds changed: 0
2023/03/14 12:06:13 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Alaphilippe, Julian', '19.0', '2023/03/14 12:06:13')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Almeida, João', '401.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1718, 'Unibet', 'Milano - Sanremo 2023', 'Almeida, João', 401.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (215, 'Unibet', 'Milano - Sanremo 2023', 'Almeida, João', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Baroncini, Filippo', '1001.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1719, 'Unibet', 'Milano - Sanremo 2023', 'Baroncini, Filippo', 1001.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (227, 'Unibet', 'Milano - Sanremo 2023', 'Baroncini, Filippo', 401.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Bettiol, Alberto', '101.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1720, 'Unibet', 'Milano - Sanremo 2023', 'Bettiol, Alberto', 101.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (233, 'Unibet', 'Milano - Sanremo 2023', 'Bettiol, Alberto', 151.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Burgaudeau, Mathieu', '801.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1721, 'Unibet', 'Milano - Sanremo 2023', 'Burgaudeau, Mathieu', 801.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (241, 'Unibet', 'Milano - Sanremo 2023', 'Burgaudeau, Mathieu', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Cavendish, Mark', '501.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1722, 'Unibet', 'Milano - Sanremo 2023', 'Cavendish, Mark', 501.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (244, 'Unibet', 'Milano - Sanremo 2023', 'Cavendish, Mark', 401.0, '2023/03/11 22:02:58')
